(123, 513, 681)
(88, 529, 938)
(20, 712, 789)
(186, 589, 816)
(41, 548, 964)
(203, 291, 751)
(305, 364, 924)
(261, 366, 818)
(327, 590, 920)
(16, 267, 912)
(369, 728, 816)
(748, 762, 923)
(167, 440, 518)
(145, 635, 873)
(446, 788, 843)
(903, 906, 924)
(149, 790, 882)
(39, 453, 529)
(441, 929, 967)
(34, 438, 865)
(104, 584, 785)
(61, 640, 780)
(180, 181, 498)
(105, 318, 790)
(386, 555, 814)
(1, 245, 515)
(775, 828, 850)
(64, 160, 849)
(602, 617, 756)
(544, 645, 942)
(43, 614, 796)
(62, 612, 675)
(22, 556, 899)
(190, 196, 963)
(157, 744, 804)
(104, 796, 997)
(175, 178, 268)
(27, 227, 815)
(307, 446, 588)
(364, 390, 511)
(223, 374, 824)
(479, 579, 795)
(88, 145, 794)
(436, 576, 725)
(433, 548, 684)
(238, 511, 774)
(483, 511, 539)
(68, 177, 774)
(41, 111, 293)
(42, 316, 471)
(37, 78, 186)
(68, 193, 726)
(634, 749, 856)
(317, 513, 523)
(22, 257, 736)
(346, 369, 620)
(617, 772, 940)
(77, 725, 751)
(235, 437, 933)
(157, 817, 939)
(447, 768, 982)
(128, 649, 850)
(318, 534, 997)
(104, 219, 880)
(33, 48, 640)
(211, 397, 485)
(49, 364, 620)
(11, 251, 319)
(402, 699, 878)
(112, 156, 773)
(43, 458, 872)
(159, 252, 626)
(395, 573, 789)
(942, 968, 999)
(265, 304, 528)
(496, 885, 886)
(277, 399, 521)
(194, 246, 521)
(121, 222, 478)
(89, 672, 976)
(326, 703, 750)
(442, 467, 966)
(194, 688, 787)
(249, 520, 584)
(334, 526, 773)
(210, 438, 561)
(474, 630, 921)
(463, 734, 800)
(83, 373, 893)
(350, 621, 836)
(214, 375, 942)
(681, 894, 926)
(154, 187, 254)
(105, 134, 598)
(60, 204, 265)
(83, 340, 630)
(657, 730, 850)
(55, 787, 955)
(255, 692, 874)
(15, 542, 768)
(0, 702, 939)
(175, 289, 453)
(351, 424, 510)
(263, 518, 720)
(377, 442, 834)
(542, 546, 697)
(209, 391, 413)
(140, 690, 987)
(131, 398, 444)
(53, 483, 789)
(413, 493, 655)
(320, 445, 598)
(230, 255, 566)
(314, 625, 652)
(486, 487, 766)
(140, 417, 686)
(6, 257, 831)
(212, 635, 963)
(46, 174, 722)
(371, 570, 791)
(315, 321, 582)
(272, 709, 729)
(589, 732, 975)
(448, 619, 887)
(643, 702, 843)
(204, 284, 486)
(159, 639, 896)
(417, 713, 944)
(229, 439, 646)
(83, 213, 426)
(40, 141, 585)
(635, 688, 749)
(65, 191, 914)
(532, 848, 946)
(191, 385, 970)
(343, 695, 856)
(392, 774, 900)
(251, 793, 806)
(246, 521, 959)
(114, 171, 369)
(18, 537, 659)
(44, 397, 645)
(358, 580, 644)
(272, 742, 780)
(362, 575, 773)
(392, 596, 650)
(426, 448, 484)
(255, 331, 804)
(207, 346, 539)
(56, 776, 822)
(123, 875, 984)
(386, 457, 611)
(49, 246, 737)
(313, 587, 950)
(246, 834, 982)
(11, 32, 981)
(84, 275, 531)
(246, 383, 961)
(409, 868, 955)
(477, 800, 875)
(381, 463, 734)
(436, 485, 725)
(299, 327, 892)
(20, 349, 941)
(193, 661, 676)
(32, 193, 573)
(82, 208, 476)
(110, 669, 987)
(217, 259, 878)
(334, 655, 841)
(219, 702, 891)
(867, 891, 912)
(211, 384, 397)
(187, 624, 909)
(140, 319, 935)
(77, 126, 437)
(557, 905, 916)
(136, 971, 975)
(439, 646, 791)
(853, 872, 931)
(23, 475, 932)
(391, 399, 632)
(427, 702, 915)
(597, 856, 867)
(165, 183, 430)
(444, 680, 850)
(229, 248, 683)
(432, 516, 746)
(269, 774, 869)
(115, 312, 413)
(199, 435, 780)
(262, 336, 544)
(331, 752, 917)
(194, 284, 344)
(91, 500, 889)
(84, 90, 548)
(166, 512, 592)
(295, 539, 988)
(333, 901, 928)
(193, 369, 960)
(136, 250, 304)
(123, 183, 812)
(48, 601, 997)
(99, 133, 298)
(145, 885, 948)
(603, 841, 870)
(375, 700, 781)
(492, 537, 753)
(160, 852, 922)
(66, 373, 775)
(306, 407, 989)
(442, 470, 750)
(204, 354, 412)
(47, 442, 667)
(255, 270, 903)
(82, 124, 208)
(163, 460, 625)
(44, 123, 707)
(527, 540, 805)
(24, 829, 889)
(193, 681, 792)
(172, 191, 959)
(37, 303, 334)
(413, 672, 883)
(97, 219, 734)
(171, 838, 875)
(28, 111, 375)
(70, 354, 686)
(29, 659, 994)
(140, 613, 861)
(642, 797, 943)
(122, 290, 378)
(32, 163, 511)
(418, 646, 966)
(209, 625, 808)
(52, 276, 454)
(65, 723, 814)
(104, 262, 564)
(516, 573, 893)
(52, 72, 506)
(172, 244, 406)
(81, 492, 699)
(377, 442, 669)
(364, 675, 699)
(181, 399, 582)
(364, 690, 996)
(47, 423, 984)
(84, 373, 773)
(217, 225, 584)
(233, 856, 911)
(299, 319, 524)
(43, 240, 549)
(48, 458, 800)
(518, 716, 812)
(261, 391, 934)
(191, 514, 819)
(476, 622, 664)
(14, 619, 701)
(200, 389, 433)
(496, 514, 864)
(96, 352, 582)
(120, 255, 414)
(31, 105, 567)
(406, 492, 585)
(320, 375, 518)
(229, 318, 432)
(204, 237, 328)
(41, 293, 673)
(121, 123, 147)
(11, 407, 921)
(119, 530, 918)
(98, 361, 894)
(34, 761, 982)
(138, 534, 555)
(259, 551, 577)
(74, 129, 998)
(313, 672, 826)
(80, 631, 974)
(60, 87, 242)
(757, 818, 948)
(686, 901, 958)
(215, 465, 951)
(192, 625, 960)
(385, 617, 869)
(468, 592, 663)
(715, 819, 957)
(190, 512, 877)
(362, 571, 932)
(264, 367, 982)
(101, 219, 903)
(67, 548, 684)
(296, 666, 749)
(37, 275, 959)
(193, 618, 832)
(180, 301, 528)
(178, 293, 882)
(768, 867, 954)
(469, 478, 496)
(56, 154, 941)
(8, 172, 959)
(422, 591, 660)
(305, 665, 861)
(353, 595, 603)
(65, 631, 879)
(731, 765, 847)
(217, 289, 605)
(134, 855, 876)
(234, 354, 871)
(91, 670, 686)
(200, 226, 933)
(468, 622, 701)
(24, 604, 655)
(1, 119, 863)
(705, 718, 996)
(370, 456, 601)
(82, 509, 938)
(611, 785, 931)
(495, 589, 883)
(81, 589, 729)
(299, 416, 968)
(206, 556, 561)
(23, 147, 681)
(24, 281, 456)
(705, 841, 965)
(185, 460, 990)
(172, 902, 949)
(2, 187, 988)
(283, 368, 664)
(155, 568, 952)
(333, 426, 540)
(186, 354, 951)
(78, 387, 424)
(395, 569, 627)
(659, 875, 885)
(152, 796, 991)
(95, 366, 690)
(28, 358, 597)
(51, 727, 729)
(214, 525, 670)
(111, 359, 709)
(174, 305, 730)
(32, 501, 572)
(197, 511, 595)
(204, 241, 884)
(122, 402, 479)
(730, 732, 805)
(297, 576, 778)
(184, 354, 917)
(490, 814, 979)
(354, 412, 517)
(18, 340, 349)
(272, 358, 817)
(47, 176, 828)
(319, 790, 930)
(63, 732, 992)
